ID_REF,H,H,H,H,H,H,D,D,D,D,D,D,D,D,D,D,D,D,D,D
A28102_at,61.9,43.9,94.4,250.5,76.4,153.3,106.4,82.5,88.9,96.2,58.4,53.5,76.7,37.6,41.2,86.7,82.7,151.5,115.7,40.7
AB000114_at,18.3,3.2,151.6,66.3,18.4,57.2,2.8,28.2,4.8,19.7,3.6,1.4,26.5,13.3,5.7,2.5,17,5.9,5.4,6.8
AB000115_at,197,101.2,133.5,87.6,151.8,90.7,444.2,193.9,235.5,949.2,103.2,178.3,114,129.5,158.8,132.4,427,95.1,744.1,59
AB000220_at,57.4,37.2,90.9,70.1,53.2,85.9,90.6,66.7,49.3,78.1,62.5,63.9,74.9,67.3,77.9,50.9,78.8,77,85.7,56.3
AB000381_s_at,1.5,38,9.7,37.5,3,23.9,8.7,52,7.7,10.2,9.9,4,7.9,28.5,7.7,7.8,6,49.5,23,7.6
AB000409_at,246.4,285.8,307.3,233.5,302.3,424.7,520.2,284.7,249.7,496,409.3,440.6,981.9,434.1,427.9,472.3,570.9,511,309.9,409
AB000410_s_at,26.7,76.4,62.5,50.7,33.5,75.8,24.1,26.4,20.8,30.1,76.3,40.2,24.4,40.2,65.5,33.4,29.3,40.9,27.5,65.6
AB000449_at,49.1,54.6,114.8,147.1,40.1,111.9,50.4,121,43.3,80.6,63.1,64.8,58.5,57.8,72.4,28.4,87.9,61.5,61.9,38
AB000450_at,86.3,86,199.2,183.8,99.1,196.2,242.2,139.5,106.6,162.1,155,185.5,144.1,165.5,116.8,135.4,233.6,155.7,116.5,107.5
AB000460_at,556,629,529.8,545.1,539.9,668.6,960.8,411.5,529.2,699.2,621.1,646.9,636.3,861.5,779.4,602.2,1365.3,810.4,435.8,529.7
AB000462_at,58.2,67.2,65.2,84.1,70.2,138.3,110.2,100.6,14.7,79.8,40.1,85.3,81.5,82.5,66.7,114,133.8,76.9,30.4,135.7
AB000464_at,81,60.4,176.9,162.8,83.7,151.4,81.8,120.1,50.5,105.3,74.2,84.2,100.9,73.6,72.4,72.5,73.9,115.2,67.5,95.8
AB000466_at,21.4,13.1,31.5,29.4,12.8,27.4,20.2,17.1,16.1,15.8,12.9,16.7,19.2,13.1,17.6,14.3,13.2,26.4,28.4,15
AB000467_at,162.8,91.1,51.2,82.4,149.7,165.7,28.5,50.7,33.9,75.4,89,123.3,37.9,28.6,33.1,171.3,165.2,45.6,43.2,149.8
AB000468_at,1368.9,714.9,812.6,1662.6,1599.2,2393.9,764.9,963.3,711.5,860.1,1524.9,867.2,1185.5,1383.9,1347.4,762.2,1288,862.1,433.9,855.8
AB000584_at,64.9,51.5,121,137,107.4,65.8,75.4,143.5,103.2,182.6,91.5,110.3,98.2,74.6,81,127.2,126.3,165.4,135.3,126.4
AB000816_s_at,64.1,52.5,20.4,63.1,98.4,91.6,67.6,9.1,10.9,83,120.7,75.1,45.6,85.6,76.1,6.2,92.9,3.9,56,106.3
AB000895_at,88.2,15.5,65.6,18.4,36.7,53,41.7,13.5,34.2,170.2,20.5,35.9,24.3,31.2,42.3,28.7,21.9,144.4,23.5,33
AB000896_at,55.7,9.8,11.5,12.9,38.2,86.8,24.5,12,54.5,15,9.6,82.3,50.4,5.4,61.3,30.8,5.5,14.4,62.4,6.5
AB000897_at,5,6.4,111.7,50.6,14.6,71.6,54,5.5,26.3,5.6,11.5,23.9,22.1,34.6,11.2,30.6,29,52.7,63.5,27.8
